code,market,,code,,,code
US.TRGP,,,US.MPWR,,,US.TRGP
US.TSLA,,,US.ORLY,,,US.TSLA
US.TSM,,,US.EOG,,,US.TSM
US.TT,,,US.NXPI,,,US.TT
US.TXN,,,US.CTAS,,,US.TXN
US.UBER,,,US.PSX,,,US.UBER
US.UNH,,,US.ECL,,,US.UNH
US.URI,,,US.RCL,,,US.URI
US.USB,,,US.AON,,,US.USB
US.VRT,,,US.ITW,,,US.VRT
US.VST,,,US.CVNA,,,US.VST
US.WAB,,,US.CL,,,US.WAB
US.WBD,,,US.GM,,,US.WBD
US.WDC,,,US.KMI,,,US.WDC
US.XYL,,,US.AEP,,,US.XYL
US.XYZ,,,US.SPG,,,US.XYZ
US.ZS,,,US.BSX,,,US.ZS
SZ.000725,,,US.NSC,,,SZ.000725
SH.603986,,,US.TDG,,,SH.603986
SH.600487,,,US.COHR,,,SH.600487
SH.601138,,,US.MSI,,,SH.601138
SZ.002384,,,US.CRH,,,SZ.002384
SH.600522,,,US.WBD,,,SH.600522
SZ.000063,,,US.LITE,,,SZ.000063
SZ.002475,,,US.NKE,,,SZ.002475
SZ.002281,,,US.URI,,,SZ.002281
SH.600584,,,US.DASH,,,SH.600584
SZ.000988,,,US.RSG,,,SZ.000988
SZ.002463,,,US.TRV,,,SZ.002463
SH.600105,,,US.REGN,,,SH.600105
SH.600498,,,US.DLR,,,SH.600498
SZ.001309,,,US.FIX,,,SZ.001309
SZ.000636,,,US.BKR,,,SZ.000636
SZ.002156,,,US.TFC,,,SZ.002156
SH.600183,,,US.APD,,,SH.600183
SZ.002050,,,US.GWW,,,SZ.002050
SH.601869,,,US.CIEN,,,SH.601869
SZ.000100,,,US.PCAR,,,SZ.000100
SH.601899,,,US.SRE,,,SH.601899
SZ.002491,,,US.AFL,,,SZ.002491
SH.600703,,,US.HPE,,,SH.600703
SZ.002484,,,US.TGT,,,SZ.002484
SZ.002185,,,US.TEL,,,SZ.002185
SZ.002008,,,US.D,,,SZ.002008
SH.600549,,,US.TRGP,,,SH.600549
SZ.002428,,,US.NUE,,,SZ.002428
SZ.002436,,,US.O,,,SZ.002436
,,,US.LHX,,,
,,,US.OKE,,,
,,,US.OXY,,,
,,,US.AJG,,,
,,,US.F,,,
,,,US.ALL,,,
,,,US.PSA,,,
,,,US.TER,,,
,,,US.KEYS,,,
,,,US.CARR,,,
,,,US.MET,,,
,,,US.COR,,,
,,,US.FANG,,,
,,,US.DVN,,,
,,,US.FAST,,,
,,,US.CAH,,,
,,,US.AME,,,
,,,US.EA,,,
,,,US.ETR,,,
,,,US.DAL,,,
,,,US.ODFL,,,
,,,US.AZO,,,
,,,US.CTVA,,,
,,,US.ROK,,,
,,,US.EW,,,
,,,US.XEL,,,
,,,US.NDAQ,,,
,,,US.VST,,,
,,,US.MCHP,,,
,,,US.EBAY,,,
,,,US.FITB,,,
,,,US.FER,,,
,,,US.EXC,,,
,,,US.ADSK,,,
,,,US.STT,,,
,,,US.GRMN,,,
,,,US.HUM,,,
,,,US.IDXX,,,
,,,US.WAB,,,
,,,US.ON,,,
,,,US.MSCI,,,
,,,US.CCEP,,,
,,,US.KDP,,,
,,,US.ARES,,,
,,,US.YUM,,,
,,,US.DHI,,,
,,,US.VTR,,,
,,,US.COIN,,,
,,,US.LYV,,,
,,,US.BDX,,,
,,,US.AMP,,,
,,,US.AIG,,,
,,,US.TKO,,,
,,,US.MSTR,,,
,,,US.CCI,,,
,,,US.ED,,,
,,,US.XYZ,,,
,,,US.KR,,,
,,,US.PEG,,,
,,,US.STLD,,,
,,,US.CMG,,,
,,,US.TTWO,,,
,,,US.ALNY,,,
,,,US.ADM,,,
,,,US.CBRE,,,
,,,US.JBL,,,
,,,US.SYY,,,
,,,US.CCL,,,
,,,US.WEC,,,
,,,US.PCG,,,
,,,US.IRM,,,
,,,US.PRU,,,
,,,US.HSY,,,
,,,US.SATS,,,
,,,US.A,,,
,,,US.PAYX,,,
,,,US.PYPL,,,
,,,US.AXON,,,
,,,US.VMC,,,
,,,US.HIG,,,
,,,US.EME,,,
,,,US.WAT,,,
,,,US.TRI,,,
,,,US.KVUE,,,
,,,US.HBAN,,,
,,,US.ZTS,,,
,,,US.UAL,,,
,,,US.KMB,,,
,,,US.HAL,,,
,,,US.ROP,,,
,,,US.CASY,,,
,,,US.LVS,,,
,,,US.MTB,,,
,,,US.MLM,,,
,,,US.WDAY,,,
,,,US.EQT,,,
,,,US.ACGL,,,
,,,US.NTRS,,,
,,,US.CBOE,,,
,,,US.EXR,,,
,,,US.EL,,,
,,,US.CNC,,,
,,,US.NTAP,,,
,,,US.DTE,,,
,,,US.VICI,,,
,,,US.Q,,,
,,,US.AEE,,,
,,,US.IQV,,,
,,,US.BIIB,,,
,,,US.RJF,,,
,,,US.DOV,,,
,,,US.GEHC,,,
,,,US.DXCM,,,
,,,US.TPR,,,
,,,US.FOXA,,,
,,,US.CPRT,,,
,,,US.KHC,,,
,,,US.TDY,,,
,,,US.FSLR,,,
,,,US.ATO,,,
,,,US.CNP,,,
,,,US.EIX,,,
,,,US.RMD,,,
,,,US.FISV,,,
,,,US.FICO,,,
,,,US.CFG,,,
,,,US.IR,,,
,,,US.FE,,,
,,,US.FDXF,,,
,,,US.PPL,,,
,,,US.JBHT,,,
,,,US.OTIS,,,
,,,US.VEEV,,,
,,,US.AVB,,,
,,,US.ES,,,
,,,US.CINF,,,
,,,US.EXPE,,,
,,,US.FOX,,,
,,,US.VRSN,,,
,,,US.NRG,,,
,,,US.TPL,,,
,,,US.XYL,,,
,,,US.WRB,,,
,,,US.PPG,,,
,,,US.DOW,,,
,,,US.EQR,,,
,,,US.WSM,,,
,,,US.BG,,,
,,,US.HUBB,,,
,,,US.WTW,,,
,,,US.DG,,,
,,,US.AWK,,,
,,,US.STZ,,,
,,,US.RF,,,
,,,US.CTSH,,,
,,,US.VRSK,,,
,,,US.KEY,,,
,,,US.DRI,,,
,,,US.PFG,,,
,,,US.SYF,,,
,,,US.WST,,,
,,,US.CHD,,,
,,,US.RL,,,
,,,US.PHM,,,
,,,US.CMS,,,
,,,US.CPAY,,,
,,,US.TROW,,,
,,,US.ROL,,,
,,,US.MTD,,,
,,,US.DGX,,,
,,,US.NI,,,
,,,US.LEN,,,
,,,US.CHRW,,,
,,,US.L,,,
,,,US.HPQ,,,
,,,US.FFIV,,,
,,,US.LH,,,
,,,US.EXPD,,,
,,,US.INCY,,,
,,,US.DLTR,,,
,,,US.LYB,,,
,,,US.SBAC,,,
,,,US.OMC,,,
,,,US.EXE,,,
,,,US.INSM,,,
,,,US.SW,,,
,,,US.ULTA,,,
,,,US.BRO,,,
,,,US.VLTO,,,
,,,US.LUV,,,
,,,US.STE,,,
,,,US.ZS,,,
,,,US.FIS,,,
,,,US.TSN,,,
,,,US.SNA,,,
,,,US.PKG,,,
,,,US.EVRG,,,
,,,US.IFF,,,
,,,US.MRNA,,,
,,,US.LNT,,,
,,,US.EFX,,,
,,,US.AKAM,,,
,,,US.DD,,,
,,,US.VTRS,,,
,,,US.ALB,,,
,,,US.SMCI,,,
,,,US.ESS,,,
,,,US.GIS,,,
,,,US.FTV,,,
,,,US.AMCR,,,
,,,US.INVH,,,
,,,US.KIM,,,
,,,US.LII,,,
,,,US.IP,,,
,,,US.WY,,,
,,,US.NVR,,,
,,,US.CF,,,
,,,US.CHTR,,,
,,,US.GPN,,,
,,,US.BR,,,
,,,US.ZBH,,,
,,,US.HST,,,
,,,US.NWS,,,
,,,US.CDW,,,
,,,US.TSCO,,,
,,,US.TXT,,,
,,,US.BEN,,,
,,,US.MAA,,,
,,,US.BBY,,,
,,,US.IEX,,,
,,,US.NDSN,,,
,,,US.DECK,,,
,,,US.LDOS,,,
,,,US.GNRC,,,
,,,US.REG,,,
,,,US.J,,,
,,,US.BALL,,,
,,,US.PTC,,,
,,,US.GEN,,,
,,,US.NWSA,,,
,,,US.MAS,,,
,,,US.DOC,,,
,,,US.APTV,,,
,,,US.GPC,,,
,,,US.SOLV,,,
,,,US.HRL,,,
,,,US.APA,,,
,,,US.EG,,,
,,,US.LULU,,,
,,,US.CSGP,,,
,,,US.MKC,,,
,,,US.DVA,,,
,,,US.COO,,,
,,,US.AIZ,,,
,,,US.GL,,,
,,,US.UDR,,,
,,,US.PNW,,,
,,,US.SJM,,,
,,,US.SWK,,,
,,,US.ALGN,,,
,,,US.TYL,,,
,,,US.IVZ,,,
,,,US.BF.B,,,
,,,US.ERIE,,,
,,,US.MGM,,,
,,,US.AVY,,,
,,,US.CLX,,,
,,,US.HII,,,
,,,US.HAS,,,
,,,US.TRMB,,,
,,,US.PSKY,,,
,,,US.PNR,,,
,,,US.CPT,,,
,,,US.ALLE,,,
,,,US.RVTY,,,
,,,US.WYNN,,,
,,,US.FRT,,,
,,,US.SWKS,,,
,,,US.AES,,,
,,,US.BAX,,,
,,,US.BXP,,,
,,,US.PODD,,,
,,,US.DPZ,,,
,,,US.ZBRA,,,
,,,US.GDDY,,,
,,,US.IT,,,
,,,US.HSIC,,,
,,,US.ARE,,,
,,,US.JKHY,,,
,,,US.FDS,,,
,,,US.CRL,,,
,,,US.UHS,,,
,,,US.TTD,,,
,,,US.NCLH,,,
,,,US.TECH,,,
,,,US.BLDR,,,
,,,US.AOS,,,
,,,US.TAP,,,
,,,US.POOL,,,
,,,US.CPB,,,
,,,US.CAG,,,
,,,US.MOS,,,
,,,US.SPY,,,
,,,US.QQQ,,,
,,,US.TQQQ,,,
,,,US.SOXL,,,
,,,US.SMH,,,
,,,US.AAOI,,,
,,,US.ALAB,,,
,,,US.ASTS,,,
,,,US.AXTI,,,
,,,US.BE,,,
,,,US.CRCL,,,
,,,US.CRDO,,,
,,,US.CRWV,,,
,,,US.DIA,,,
,,,US.DXYZ,,,
,,,US.EOSE,,,
,,,US.FLNC,,,
,,,US.FLY,,,
,,,US.HIMS,,,
,,,US.HIMX,,,
,,,US.IGV,,,
,,,US.INOD,,,
,,,US.IONQ,,,
,,,US.IREN,,,
,,,US.IWM,,,
,,,US.LUNR,,,
,,,US.MP,,,
,,,US.MRAM,,,
,,,US.MXL,,,
,,,US.NBIS,,,
,,,US.NET,,,
,,,US.NOK,,,
,,,US.NVO,,,
,,,US.NVTS,,,
,,,US.OKLO,,,
,,,US.ONDS,,,
,,,US.PL,,,
,,,US.POET,,,
,,,US.RKLB,,,
,,,US.SMR,,,
,,,US.SOFI,,,
,,,US.SOUN,,,
,,,US.TSM,,,
